sctid,fsn/term,pt/term,conceptId,batch
,Structure of middle regional part of transition zone of left half prostate (body structure),Left middle transition zone of prostate,716912006,sex structure
,Structure of anterior middle regional part of transition zone of right half prostate (body structure),Right anterior middle transition zone of prostate,716913001,sex structure
,Structure of anterior middle regional part of transition zone of left half prostate (body structure),Left anterior middle transition zone of prostate,716914007,sex structure
,Structure of posterior middle regional part of transition zone of right half prostate (body structure),Right posterior middle transition zone of prostate,716915008,sex structure
,Structure of posterior middle regional part of transition zone of left half prostate (body structure),Left posterior middle transition zone of prostate,716916009,sex structure
,Structure of lateral middle regional part of peripheral zone of right half prostate (body structure),Right lateral middle peripheral zone of prostate,716917000,sex structure
,Structure of lateral middle regional part of peripheral zone of left half prostate (body structure),Left lateral middle peripheral zone of prostate,716918005,sex structure
,Structure of anterior middle regional part of peripheral zone of right half prostate (body structure),Right anterior middle peripheral zone of prostate,716919002,sex structure
,Structure of anterior middle regional part of peripheral zone of left half prostate (body structure),Left anterior middle peripheral zone of prostate,716920008,sex structure
,Structure of posterolateral middle regional part of peripheral zone of right half prostate (body structure),Right posterolateral middle peripheral zone of prostate,716921007,sex structure
,Structure of posterolateral middle regional part of peripheral zone of left half prostate (body structure),Left posterolateral middle peripheral zone of prostate,716922000,sex structure
,Structure of posteromedial middle regional part of peripheral zone of right half prostate (body structure),Right posteromedial middle peripheral zone of prostate,716923005,sex structure
,Structure of posteromedial middle regional part of peripheral zone of left half prostate (body structure),Left posteromedial middle peripheral zone of prostate,716924004,sex structure
,Structure of apical part of anterior fibromuscular stroma of prostate (body structure),Apical anterior fibromuscular stroma of prostate,716925003,sex structure
,Structure of apical part of anterior fibromuscular stroma of right half prostate (body structure),Right apical anterior fibromuscular stroma of prostate,716926002,sex structure
,Structure of apical part of anterior fibromuscular stroma of left half prostate (body structure),Left apical anterior fibromuscular stroma of prostate,716927006,sex structure
,Structure of apical part of transition zone of right half prostate (body structure),Right apical transition zone of prostate,716928001,sex structure
,Structure of apical part of transition zone of left half prostate (body structure),Left apical transition zone of prostate,716929009,sex structure
,Structure of anterior apical part of transition zone of right half prostate (body structure),Right anterior apical part of transition zone of prostate,716930004,sex structure
,Structure of anterior apical part of transition zone of left half prostate (body structure),Left anterior apical part of transition zone of prostate,716931000,sex structure
,Structure of posterior apical part of transition zone of right half prostate (body structure),Right posterior apical part of transition zone of prostate,716932007,sex structure
,Structure of posterior apical part of transition zone of left half prostate (body structure),Left posterior apical part of transition zone of prostate,716933002,sex structure
,Structure of apical part of peripheral zone of right half prostate (body structure),Right apical peripheral zone of prostate,716934008,sex structure
,Structure of apical part of peripheral zone of left half prostate (body structure),Left apical peripheral zone of prostate,716935009,sex structure
,Structure of anterior apical part of peripheral zone of right half prostate (body structure),Right anterior apical peripheral zone of prostate,716936005,sex structure
,Structure of anterior apical part of peripheral zone of left half prostate (body structure),Left anterior apical peripheral zone of prostate,716937001,sex structure
,Structure of posterolateral apical part of peripheral zone of right half prostate (body structure),Right posterolateral apical peripheral zone of prostate,716938006,sex structure
,Structure of posterolateral apical part of peripheral zone of left half prostate (body structure),Left posterolateral apical peripheral zone of prostate,716939003,sex structure
,Structure of posteromedial apical part of peripheral zone of right half prostate (body structure),Right posteromedial apical peripheral zone of prostate,716940001,sex structure
,Structure of posteromedial apical part of peripheral zone of left half prostate (body structure),Left posteromedial apical peripheral zone of prostate,716941002,sex structure
,Entire basal part of anterior fibromuscular stroma of prostate (body structure),Entire basal part of anterior fibromuscular stroma of prostate,716942009,sex structure
,Entire basal part of anterior fibromuscular stroma of right half prostate (body structure),Entire basal part of anterior fibromuscular stroma of right half prostate,716943004,sex structure
,Entire basal part of anterior fibromuscular stroma of left half prostate (body structure),Entire basal part of anterior fibromuscular stroma of left half prostate,716944005,sex structure
,Entire basal part of transition zone of right half prostate (body structure),Entire basal part of transition zone of right half prostate,716945006,sex structure
,Entire basal part of transition zone of left half prostate (body structure),Entire basal part of transition zone of left half prostate,716946007,sex structure
,Entire anterior basal part of transition zone of right half prostate (body structure),Entire anterior basal part of transition zone of right half prostate,716947003,sex structure
,Entire anterior basal part of transition zone of left half prostate (body structure),Entire anterior basal part of transition zone of left half prostate,716948008,sex structure
,Entire posterior basal part of transition zone of right half prostate (body structure),Entire posterior basal part of transition zone of right half prostate,716949000,sex structure
,Entire posterior basal part of transition zone of left half prostate (body structure),Entire posterior basal part of transition zone of left half prostate,716950000,sex structure
,Entire central zone of right half prostate (body structure),Entire central zone of right half prostate,716951001,sex structure
,Entire central zone of left half prostate (body structure),Entire central zone of left half prostate,716952008,sex structure
,Entire basal part of peripheral zone of right half prostate (body structure),Entire basal part of peripheral zone of right half prostate,716953003,sex structure
,Entire basal part of peripheral zone of left half prostate (body structure),Entire basal part of peripheral zone of left half prostate,716954009,sex structure
,Entire anterior basal part of peripheral zone of right half prostate (body structure),Entire anterior basal part of peripheral zone of right half prostate,716955005,sex structure
,Entire anterior basal part of peripheral zone of left half prostate (body structure),Entire anterior basal part of peripheral zone of left half prostate,716956006,sex structure
,Entire posterolateral basal part of peripheral zone of right half prostate (body structure),Entire posterolateral basal part of peripheral zone of right half prostate,716957002,sex structure
,Entire posterolateral basal part of peripheral zone of left half prostate (body structure),Entire posterolateral basal part of peripheral zone of left half prostate,716958007,sex structure
,Entire middle regional part of anterior fibromuscular stroma of prostate (body structure),Entire middle regional part of anterior fibromuscular stroma of prostate,716959004,sex structure
,Entire middle regional part of anterior fibromuscular stroma of right half prostate (body structure),Entire middle regional part of anterior fibromuscular stroma of right half prostate,716960009,sex structure
,Entire middle regional part of anterior fibromuscular stroma of left half prostate (body structure),Entire middle regional part of anterior fibromuscular stroma of left half prostate,716961008,sex structure
,Entire middle regional part of transition zone of right half prostate (body structure),Entire middle regional part of transition zone of right half prostate,716962001,sex structure
,Entire middle regional part of transition zone of left half prostate (body structure),Entire middle regional part of transition zone of left half prostate,716963006,sex structure
,Entire anterior middle regional part of transition zone of right half prostate (body structure),Entire anterior middle regional part of transition zone of right half prostate,716964000,sex structure
,Entire anterior middle regional part of transition zone of left half prostate (body structure),Entire anterior middle regional part of transition zone of left half prostate,716965004,sex structure
,Entire posterior middle regional part of transition zone of right half prostate (body structure),Entire posterior middle regional part of transition zone of right half prostate,716966003,sex structure
,Entire posterior middle regional part of transition zone of left half prostate (body structure),Entire posterior middle regional part of transition zone of left half prostate,716967007,sex structure
,Entire lateral middle regional part of peripheral zone of right half prostate (body structure),Entire lateral middle regional part of peripheral zone of right half prostate,716968002,sex structure
,Entire lateral middle regional part of peripheral zone of left half prostate (body structure),Entire lateral middle regional part of peripheral zone of left half prostate,716969005,sex structure
,Entire anterior middle regional part of peripheral zone of right half prostate (body structure),Entire anterior middle regional part of peripheral zone of right half prostate,716970006,sex structure
,Entire anterior middle regional part of peripheral zone of left half prostate (body structure),Entire anterior middle regional part of peripheral zone of left half prostate,716971005,sex structure
,Entire posterolateral middle regional part of peripheral zone of right half prostate (body structure),Entire posterolateral middle regional part of peripheral zone of right half prostate,716972003,sex structure
,Entire posterolateral middle regional part of peripheral zone of left half prostate (body structure),Entire posterolateral middle regional part of peripheral zone of left half prostate,716973008,sex structure
,Entire posteromedial middle regional part of peripheral zone of right half prostate (body structure),Entire posteromedial middle regional part of peripheral zone of right half prostate,716974002,sex structure
,Entire posteromedial middle regional part of peripheral zone of left half prostate (body structure),Entire posteromedial middle regional part of peripheral zone of left half prostate,716975001,sex structure
,Entire apical part of anterior fibromuscular stroma of prostate (body structure),Entire apical part of anterior fibromuscular stroma of prostate,716976000,sex structure
,Entire apical part of anterior fibromuscular stroma of right half prostate (body structure),Entire apical part of anterior fibromuscular stroma of right half prostate,716977009,sex structure
,Entire apical part of anterior fibromuscular stroma of left half prostate (body structure),Entire apical part of anterior fibromuscular stroma of left half prostate,716978004,sex structure
,Entire apical part of transition zone of right half prostate (body structure),Entire apical part of transition zone of right half prostate,716979007,sex structure
,Entire apical part of transition zone of left half prostate (body structure),Entire apical part of transition zone of left half prostate,716980005,sex structure
,Entire anterior apical part of transition zone of right half prostate (body structure),Entire anterior apical part of transition zone of right half prostate,716981009,sex structure
,Entire anterior apical part of transition zone of left half prostate (body structure),Entire anterior apical part of transition zone of left half prostate,716982002,sex structure
,Entire posterior apical part of transition zone of right half prostate (body structure),Entire posterior apical part of transition zone of right half prostate,716983007,sex structure
,Entire posterior apical part of transition zone of left half prostate (body structure),Entire posterior apical part of transition zone of left half prostate,716984001,sex structure
,Entire apical part of peripheral zone of right half prostate (body structure),Entire apical part of peripheral zone of right half prostate,716985000,sex structure
,Entire apical part of peripheral zone of left half prostate (body structure),Entire apical part of peripheral zone of left half prostate,716986004,sex structure
,Entire anterior apical part of peripheral zone of right half prostate (body structure),Entire anterior apical part of peripheral zone of right half prostate,716987008,sex structure
,Entire anterior apical part of peripheral zone of left half prostate (body structure),Entire anterior apical part of peripheral zone of left half prostate,716988003,sex structure
,Entire posterolateral apical part of peripheral zone of right half prostate (body structure),Entire posterolateral apical part of peripheral zone of right half prostate,716989006,sex structure
,Entire posterolateral apical part of peripheral zone of left half prostate (body structure),Entire posterolateral apical part of peripheral zone of left half prostate,716990002,sex structure
,Entire posteromedial apical part of peripheral zone of right half prostate (body structure),Entire posteromedial apical part of peripheral zone of right half prostate,716991003,sex structure
,Entire posteromedial apical part of peripheral zone of left half prostate (body structure),Entire posteromedial apical part of peripheral zone of left half prostate,716992005,sex structure
,Structure of middle region of prostate (body structure),Middle region of prostate,717001004,sex structure
,Structure of anterior section of prostate (body structure),Anterior section of prostate,717004007,sex structure
,Structure of posterior section of prostate (body structure),Posterior section of prostate,717005008,sex structure
,Structure of apical part of peripheral zone of prostate (body structure),Apical peripheral zone of prostate,717007000,sex structure
,Structure of apical part of transition zone of prostate (body structure),Apical transition zone of prostate,717020002,sex structure
,Structure of middle regional part of transition zone of prostate (body structure),Middle transition zone of prostate,717021003,sex structure
,Structure of middle regional part of peripheral zone of prostate (body structure),Middle peripheral zone of prostate,717022005,sex structure
,Structure of basal part of transition zone of prostate (body structure),Basal transition zone of prostate,717023000,sex structure
,Structure of basal part of peripheral zone of prostate (body structure),Basal peripheral zone of prostate,717024006,sex structure
,Structure of anterior fibromuscular stroma of prostate (body structure),Anterior fibromuscular stroma of prostate,717025007,sex structure
,Entire anterior fibromuscular stroma of prostate (body structure),Entire anterior fibromuscular stroma of prostate,717026008,sex structure
,Structure of left half of prostate (body structure),Structure of left half of prostate,718325000,sex structure
,Structure of right half of prostate (body structure),Structure of right half of prostate,718328003,sex structure
,Structure of anterior scrotal nerves (body structure),Anterior scrotal nerves,71969001,sex structure
,Radix penis structure (body structure),Base of penis,72377005,sex structure
,Structure of mesosalpinx (body structure),Mesosalpinx,72626008,sex structure
,Entire male genital spaces (body structure),Entire male genital spaces,726843004,sex structure
,Entire corpus cavernosum of clitoris (body structure),Entire corpus cavernosum of clitoris,726880005,sex structure
,Entire female genital spaces (body structure),Entire female genital spaces,726882002,sex structure
,Entire indeterminate sex structure (body structure),Entire indeterminate sex structure,726995006,sex structure
,Entire skin of foreskin (body structure),Entire skin of foreskin,727000002,sex structure
,Entire posterior lobe of prostate (body structure),Entire posterior lobe of prostate,727169002,sex structure
,Structure of body of epididymis (body structure),Body of epididymis,72720006,sex structure
,Entire dorsal skin of penis (body structure),Entire dorsal skin of penis,727339002,sex structure
,Entire ventral skin of penis (body structure),Entire ventral skin of penis,727340000,sex structure
,Structure of marginal venous sinus of placental attachment (body structure),Marginal venous sinus of placental attachment,72740004,sex structure
,Entire fibromuscular junction of uterus (body structure),Entire fibromuscular junction of uterus,727408000,sex structure
,Entire anterior wall of upper third of vagina (body structure),Entire anterior wall of upper third of vagina,727473008,sex structure
,Entire posterior wall of upper third of vagina (body structure),Entire posterior wall of upper third of vagina,727474002,sex structure
,Entire anterior wall of middle third of vagina (body structure),Entire anterior wall of middle third of vagina,727475001,sex structure
,Entire posterior wall of middle third of vagina (body structure),Entire posterior wall of middle third of vagina,727476000,sex structure
,Entire anterior wall of lower third of vagina (body structure),Entire anterior wall of lower third of vagina,727477009,sex structure
,Entire posterior wall of lower third of vagina (body structure),Entire posterior wall of lower third of vagina,727478004,sex structure
,Entire peri-urethral gland zone of prostate (body structure),Entire peri-urethral gland zone of prostate,727479007,sex structure
,Structure of lymphatic vessel of penis (body structure),Lymphatic of penis,72753001,sex structure
,Entire skin of root of penis (body structure),Entire skin of root of penis,727859006,sex structure
,Entire skin of shaft of penis (body structure),Entire skin of shaft of penis,727860001,sex structure
,Entire skin of labiofemoral groove (body structure),Entire skin of labiofemoral groove,727861002,sex structure
,Entire skin of interlabial groove (body structure),Entire skin of interlabial groove,727862009,sex structure
,Entire artery of male pelvic region (body structure),Entire artery of male pelvic region,727928005,sex structure
,Entire artery of female pelvic region (body structure),Entire artery of female pelvic region,727929002,sex structure
,Entire upper uterine segment (body structure),Entire upper uterine segment,728302000,sex structure
,Entire anterior wall of uterus (body structure),Entire anterior wall of uterus,728303005,sex structure
,Entire posterior wall of uterus (body structure),Entire posterior wall of uterus,728304004,sex structure
,Entire uterine submucosa (body structure),Entire uterine submucosa,728305003,sex structure
,Entire region of superolateral angle of uterine body (body structure),Entire cornu of fallopian tube,728306002,sex structure
,Entire surface of uterine cervix (body structure),Entire surface of uterine cervix,728490004,sex structure
,Entire vaginal wall (body structure),Entire vaginal wall,728538006,sex structure
,Entire lateral wall of vagina (body structure),Entire lateral wall of vagina,728539003,sex structure
,Entire angle of cervix (body structure),Entire angle of cervix,728540001,sex structure
,Entire lateral wall of uterus (body structure),Entire lateral wall of uterus,728555005,sex structure
,Entire circumference of cervix (body structure),Entire circumference of cervix,728612004,sex structure
,Entire surface of scrotum (body structure),Entire surface of scrotum,728626008,sex structure
,Entire lateral wall of cervix (body structure),Entire lateral wall of cervix,728640009,sex structure
,Entire posterior wall of cervix (body structure),Entire posterior wall of cervix,728660001,sex structure
,Entire interstitial fallopian tube (body structure),Entire interstitial fallopian tube,728692000,sex structure
,Entire uterine segment (body structure),Entire uterine segment,728728004,sex structure
,Entire lip of cervix (body structure),Entire lip of cervix,728729007,sex structure
,Entire opening into prostatic urethra (body structure),Entire opening into prostatic urethra,728973000,sex structure
,Entire opening of prostatic utricle (body structure),Entire opening of prostatic utricle,728974006,sex structure
,Entire opening of ejaculatory duct (body structure),Entire opening of ejaculatory duct,728975007,sex structure
,Entire intrabulbar fossa (body structure),Entire intrabulbar fossa,728976008,sex structure
,Entire opening into penile urethra (body structure),Entire opening into penile urethra,728977004,sex structure
,Entire opening of bulbourethral gland (body structure),Entire opening of bulbourethral gland,728978009,sex structure
,Entire opening of male urethral gland (body structure),Entire opening of male urethral gland,728979001,sex structure
,Entire male urethral lacuna (body structure),Entire male urethral lacuna,728980003,sex structure
,Entire opening of male urethral lacuna (body structure),Entire opening of male urethral lacuna,728981004,sex structure
,Entire opening of lacuna magna (body structure),Entire opening of lacuna magna,728982006,sex structure
,Entire lacuna magna (body structure),Entire lacuna magna,728983001,sex structure
,Entire lumen of male urethra (body structure),Entire lumen of male urethra,728984007,sex structure
,Entire lumen of female urethra (body structure),Entire lumen of female urethra,728985008,sex structure
,Entire lumen of prostatic urethra (body structure),Entire lumen of prostatic urethra,728986009,sex structure
,Entire lumen of membranous urethra (body structure),Entire lumen of membranous urethra,728987000,sex structure
,Entire lumen of penile urethra (body structure),Entire lumen of penile urethra,728988005,sex structure
,Entire male urethral crest (body structure),Entire male urethral crest,728989002,sex structure
,Entire female urethral crest (body structure),Entire female urethral crest,728990006,sex structure
,Entire female urethral lacuna (body structure),Entire female urethral lacuna,728991005,sex structure
,Entire male urethral wall (body structure),Entire male urethral wall,728992003,sex structure
,Entire female urethral wall (body structure),Entire female urethral wall,728993008,sex structure
,Entire male external urethral orifice (body structure),Entire male external urethral orifice,728994002,sex structure
,Entire female external urethral orifice (body structure),Entire female external urethral orifice,728995001,sex structure
,Entire opening into female urethra (body structure),Entire opening into female urethra,728996000,sex structure
,Entire opening of female urethral gland (body structure),Entire opening of female urethral gland,728997009,sex structure
,Entire opening of female urethral lacuna (body structure),Entire opening of female urethral lacuna,728998004,sex structure
,Entire female periurethral tissue (body structure),Entire female periurethral tissue,729002001,sex structure
,Entire opening of paraurethral duct (body structure),Entire opening of paraurethral duct,729003006,sex structure
,Entire outlet of male urinary bladder (body structure),Entire male outlet of bladder,729005004,sex structure
,Entire outlet of female urinary bladder (body structure),Entire female outlet of bladder,729006003,sex structure
,Entire anterior scrotal wall (body structure),Entire anterior scrotal wall,729040003,sex structure
,Entire posterior scrotal wall (body structure),Entire posterior scrotal wall,729041004,sex structure
,Entire lateral scrotal wall (body structure),Entire lateral scrotal wall,729042006,sex structure
,Entire anterior surface of scrotum (body structure),Entire anterior surface of scrotum,729043001,sex structure
,Entire posterior surface of scrotum (body structure),Entire posterior surface of scrotum,729044007,sex structure
,Entire inferior surface of scrotum (body structure),Entire inferior surface of scrotum,729045008,sex structure
,Entire lateral surface of scrotum (body structure),Entire lateral surface of scrotum,729046009,sex structure
,Entire scrotal fascia (body structure),Entire scrotal fascia,729047000,sex structure
,Entire scrotal ligament (body structure),Entire scrotal ligament,729048005,sex structure
,Entire pole of testis (body structure),Entire pole of testis,729049002,sex structure
,Entire surface of testis (body structure),Entire surface of testis,729050002,sex structure
,Entire appendix of testis (body structure),Entire appendix of testis,729051003,sex structure
,Entire tunica of testis (body structure),Entire tunica of testis,729052005,sex structure
,Entire tunica vasculosa (body structure),Entire tunica vasculosa,729053000,sex structure
,Entire layer of tunica vaginalis (body structure),Entire layer of tunica vaginalis,729054006,sex structure
,Entire epididymodeferential junction (body structure),Entire epididymodeferential junction,729055007,sex structure
,Entire appendix of head of epididymis (body structure),Entire appendix of head of epididymis,729056008,sex structure
,Entire junction of vas deferens (body structure),Entire junction of vas deferens,729057004,sex structure
,Entire junction of vas and seminal vesicle duct (body structure),Entire junction of vas and seminal vesicle duct,729058009,sex structure
,Entire covering of spermatic cord (body structure),Entire covering of spermatic cord,729060006,sex structure
,Entire component of spermatic cord (body structure),Entire component of spermatic cord,729061005,sex structure
,Entire spermatic fascia (body structure),Entire spermatic fascia,729062003,sex structure
,Entire nerve of spermatic cord (body structure),Entire nerve of spermatic cord,729063008,sex structure
,Entire lymph vessel of spermatic cord (body structure),Entire lymph vessel of spermatic cord,729064002,sex structure
,Entire artery of spermatic cord (body structure),Entire artery of spermatic cord,729065001,sex structure
,Entire vein of spermatic cord (body structure),Entire vein of spermatic cord,729066000,sex structure
,Entire lumen of ejaculatory duct (body structure),Entire lumen of ejaculatory duct,729068004,sex structure
,Entire pole of seminal vesicle (body structure),Entire pole of seminal vesicle,729069007,sex structure
,Entire upper pole of seminal vesicle (body structure),Entire upper pole of seminal vesicle,729070008,sex structure
,Entire lower pole of seminal vesicle (body structure),Entire lower pole of seminal vesicle,729071007,sex structure
,Entire surface of seminal vesicle (body structure),Entire surface of seminal vesicle,729072000,sex structure
,Entire anterior surface of seminal vesicle (body structure),Entire anterior surface of seminal vesicle,729073005,sex structure
,Entire posterior surface of seminal vesicle (body structure),Entire posterior surface of seminal vesicle,729074004,sex structure
,Entire diverticulum of seminal vesicle (body structure),Entire diverticulum of seminal vesicle,729075003,sex structure
,Entire lumen of duct of seminal vesicle (body structure),Entire lumen of duct of seminal vesicle,729076002,sex structure
,Entire wall of duct of seminal vesicle (body structure),Entire wall of duct of seminal vesicle,729077006,sex structure
,Entire fibrous sheath of prostate (body structure),Entire fibrous sheath of prostate,729078001,sex structure
,Entire septum of prostate (body structure),Entire septum of prostate,729079009,sex structure
,Entire median septum of prostate (body structure),Entire median septum of prostate,729080007,sex structure
,Entire fibromuscular septum of prostate (body structure),Entire fibromuscular septum of prostate,729081006,sex structure
,Entire periurethral fibromuscular tissue (body structure),Entire periurethral fibromuscular tissue,729082004,sex structure
,Entire surface of prostate (body structure),Entire surface of prostate,729083009,sex structure
,Entire border of prostate (body structure),Entire border of prostate,729084003,sex structure
,Entire superior border of prostate (body structure),Entire superior border of prostate,729085002,sex structure
,Entire inferior border of prostate (body structure),Entire inferior border of prostate,729086001,sex structure
,Entire median sulcus of prostate (body structure),Entire median sulcus of prostate,729087005,sex structure
,Entire dome of glans penis (body structure),Entire dome of glans penis,729089008,sex structure
,Entire preputial sac (body structure),Entire preputial sac,729090004,sex structure
,Entire superficial layer of superficial penile fascia (body structure),Entire superficial layer of superficial penile fascia,729091000,sex structure
,Entire deep layer of superficial penile fascia (body structure),Entire deep layer of superficial penile fascia,729092007,sex structure
,Entire surface of labium pudendum (body structure),Entire surface of labium pudendum,729158006,sex structure
,Entire surface of labium majorum (body structure),Entire surface of labium majorum,729159003,sex structure
,Entire surface of labium minorum (body structure),Entire surface of labium minorum,729160008,sex structure
,Entire commissure of labium majorum (body structure),Entire commissure of labium majorum,729161007,sex structure
,Entire frenulum of labia minora (body structure),Entire frenulum of labia minora,729162000,sex structure
,Entire opening of duct of vestibular gland (body structure),Entire opening of duct of vestibular gland,729163005,sex structure
,Entire opening of duct of greater vestibular gland (body structure),Entire opening of duct of greater vestibular gland,729164004,sex structure
,Entire opening of duct of lesser vestibular gland (body structure),Entire opening of duct of lesser vestibular gland,729165003,sex structure
,Entire supravaginal cervix (body structure),Entire supravaginal cervix,729166002,sex structure
,Entire vaginal cervix (body structure),Entire vaginal cervix,729167006,sex structure
,Entire anterior wall of cervical canal (body structure),Entire anterior wall of cervical canal,729168001,sex structure
,Entire posterior wall of cervical canal (body structure),Entire posterior wall of cervical canal,729169009,sex structure
,Entire fornicial surface of vaginal cervix (body structure),Entire fornicial surface of vaginal cervix,729172002,sex structure
,Entire anterior fornicial surface of vaginal cervix (body structure),Entire anterior fornicial surface of vaginal cervix,729173007,sex structure
,Entire posterior fornicial surface of vaginal cervix (body structure),Entire posterior fornicial surface of vaginal cervix,729174001,sex structure
,Entire lateral fornicial surface of vaginal cervix (body structure),Entire lateral fornicial surface of vaginal cervix,729175000,sex structure
,Entire inferior surface of vaginal cervix (body structure),Entire inferior surface of vaginal cervix,729176004,sex structure
,Entire layer of fallopian tube (body structure),Entire layer of fallopian tube,729177008,sex structure
,Entire surface of fallopian tube (body structure),Entire surface of fallopian tube,729178003,sex structure
,Entire opening of fallopian tube (body structure),Entire opening of fallopian tube,729179006,sex structure
,Entire surface of ovary (body structure),Entire surface of ovary,729180009,sex structure
,Entire border of ovary (body structure),Entire border of ovary,729181008,sex structure
,Entire pole of ovary (body structure),Entire pole of ovary,729182001,sex structure
,Entire cremasteric vein (body structure),Entire cremasteric vein,729249009,sex structure
,Entire paraovarian tissue (body structure),Entire paraovarian tissue,729401000,sex structure
,Entire fallopian peritubular tissue (body structure),Entire fallopian peritubular tissue,729402007,sex structure
,Entire prostatic plexus (body structure),Entire prostatic plexus,729417006,sex structure
,Entire sweat gland bearing skin of male perineum (body structure),Entire sweat gland bearing skin of male perineum,729582006,sex structure
,Entire scrotal and testis structures (body structure),Entire scrotal and testis structures,729603007,sex structure
,Entire spermatic cord and male perineal structures (body structure),Entire spermatic cord and male perineal structures,729604001,sex structure
,Entire ovary and broad ligament (body structure),Entire ovary and broad ligament,729618008,sex structure
,Entire ovarian pampiniform plexus (body structure),Entire ovarian pampiniform plexus,729636008,sex structure
,Entire prostatic and seminal vesicle structures (body structure),Entire prostatic and seminal vesicle structures,729833003,sex structure
,Entire male genital vein (body structure),Entire male genital vein,729970006,sex structure
,Entire female genital vein (body structure),Entire female genital vein,729971005,sex structure
,Entire glans and prepuce of penis (body structure),Entire glans and prepuce of penis,729976000,sex structure
,Entire clitoridal artery (body structure),Entire clitoridal artery,730084001,sex structure
,Entire aspect of penis (body structure),Entire aspect of penis,730086004,sex structure
,Entire os of cervix (body structure),Entire os of cervix,730096008,sex structure
,Entire prostate and vas deferens (body structure),Entire prostate and vas deferens,730157004,sex structure
,Entire layer of cervix (body structure),Entire layer of cervix,730219005,sex structure
,Entire blood vessel at placental attachment (body structure),Entire blood vessel at placental attachment,730220004,sex structure
,Entire endometrial layer (body structure),Entire endometrial layer,730221000,sex structure
,Entire layer of ovary (body structure),Entire layer of ovary,730222007,sex structure
,Entire surface of uterus (body structure),Entire surface of uterus,730264007,sex structure
,Structure of capsule of ovary (body structure),Capsule of ovary,73051002,sex structure
,Skin of structure of labium pudendum (body structure),Skin of labium,73058008,sex structure
,Entire epoophoron (body structure),Entire epoophoron,730789002,sex structure
,Entire paroophoron (body structure),Entire paroophoron,730790006,sex structure
,Entire pubovaginalis muscle (body structure),Entire pubovaginalis muscle,730858006,sex structure
,Entire canal of Nuck (body structure),Entire canal of Nuck,731060003,sex structure
,Entire uterine wall (body structure),Entire uterine wall,731119008,sex structure
,Entire male urinary bladder neck (body structure),Entire male bladder neck,731134002,sex structure
,Entire female urinary bladder neck (body structure),Entire female bladder neck,731135001,sex structure
,Entire glandular zone of prostate (body structure),Entire glandular zone of prostate,731136000,sex structure
,Entire peripheral glandular zone of prostate (body structure),Entire peripheral glandular zone of prostate,731137009,sex structure
,Entire vulval vein (body structure),Entire vulval vein,731142001,sex structure
,Entire penile artery (body structure),Entire penile artery,731160001,sex structure
,Entire lymphatic vessel of female pelvis (body structure),Entire lymphatic vessel of female pelvis,731182008,sex structure
,Entire lymphatic vessel of male pelvis (body structure),Entire lymphatic vessel of male pelvis,731183003,sex structure
,Entire vein of clitoris (body structure),Entire vein of clitoris,731198001,sex structure
,Entire parenchyma of ovary (body structure),Entire parenchyma of ovary,731256006,sex structure
,Entire transition zone of prostate (body structure),Entire transition zone of prostate,731269005,sex structure
,Entire skin and mucosa of vulva (body structure),Entire skin and mucosa of vulva,731273008,sex structure
,Entire tributary of prostatic venous plexus (body structure),Entire tributary of prostatic venous plexus,731354006,sex structure
,Entire tributary of uterine vein (body structure),Entire tributary of uterine vein,731361005,sex structure
,Entire apocrine sweat gland bearing skin of vulva (body structure),Entire apocrine sweat gland bearing skin of vulva,731366000,sex structure
,Entire tributary of vaginal vein (body structure),Entire tributary of vaginal vein,731374004,sex structure
,Entire pelvic segment of trunk of female (body structure),Entire pelvic region of trunk of female,731497002,sex structure
,Entire male genital duct (body structure),Entire male genital duct,731498007,sex structure
,Entire middle region of prostate (body structure),Entire middle region of prostate,731637005,sex structure
,Entire anterior section of prostate (body structure),Entire anterior section of prostate,731638000,sex structure
,Entire posterior section of prostate (body structure),Entire posterior section of prostate,731639008,sex structure
,Entire skin of female perineum (body structure),Entire skin of female perineum,731724003,sex structure
,Entire skin of male perineum (body structure),Entire skin of male perineum,731725002,sex structure
,Entire connective tissue of testis (body structure),Entire connective tissue of testis,731729008,sex structure
,Entire erectile of penis (body structure),Entire erectile of penis,731730003,sex structure
,Entire fibrous of penis (body structure),Entire fibrous of penis,731731004,sex structure
,Entire blood vessel of penis (body structure),Entire blood vessel of penis,731857006,sex structure
,Entire skin and subcutaneous tissue of scrotum (body structure),Entire skin and subcutaneous tissue of scrotum,731909001,sex structure
,Entire seminal duct (body structure),Entire seminal duct,731974007,sex structure
,Entire sex structure (body structure),Entire sex structure,731980004,sex structure
,Entire male urinary outflow structure (body structure),Entire male urinary outflow structure,732011005,sex structure
,Entire female urinary outflow structure (body structure),Entire female urinary outflow structure,732012003,sex structure
,Entire blood vessel of spermatic cord (body structure),Entire blood vessel of spermatic cord,732014002,sex structure
,Entire prostatic connective tissue (body structure),Entire prostatic connective tissue,732015001,sex structure
,Entire blood vessel of vulva (body structure),Entire blood vessel of vulva,732017009,sex structure
,Structure of straight seminiferous tubule (body structure),Straight seminiferous tubule,73203004,sex structure
,Entire female genital system in pelvic cavity (body structure),Entire female genital system in pelvic cavity,732043005,sex structure
,Entire upper female genital system (body structure),Entire upper female genital system,732045003,sex structure
,Entire lower female genital system (body structure),Entire lower female genital system,732046002,sex structure
